Name,Beer_ID,ABV,IBU,Brew_ID,Style,Ounces,Name,City,State,ISBLANK,,,,,,,,,,
Maize & Blueberry,1651,0.056,,11,Fruit / Vegetable Beer,16,Brewery Vivant,Grand Rapids, MI,BLANK,,,,,,,,,,
Trebuchet Double IPA,1443,0.093,,11,American Double / Imperial IPA,16,Brewery Vivant,Grand Rapids, MI,BLANK,,,,,,,,,,
Contemplation,1352,0.065,,11,Bière de Garde,16,Brewery Vivant,Grand Rapids, MI,BLANK,,,,,,,,,,
Black Rabbit,1267,0.05,,11,American Black Ale,16,Brewery Vivant,Grand Rapids, MI,BLANK,,,,,,,,,,
Zaison,1266,0.09,,11,Saison / Farmhouse Ale,16,Brewery Vivant,Grand Rapids, MI,BLANK,,,,,,,,,,
Vivant Tripel,1178,0.082,,11,Tripel,16,Brewery Vivant,Grand Rapids, MI,BLANK,,,,,,,,,,
Tart Side of the Moon,1136,0.098,,11,Belgian Dark Ale,16,Brewery Vivant,Grand Rapids, MI,BLANK,,,,,,,,,,
Big Red Coq,1044,0.06,,11,American Amber / Red Ale,16,Brewery Vivant,Grand Rapids, MI,BLANK,,,,,,,,,,
Hubris Quadrupel Anniversary Ale,1033,0.099,,11,Quadrupel (Quad),16,Brewery Vivant,Grand Rapids, MI,BLANK,,,,,,,,,,
Plow Horse Belgian Style Imperial Stout,1031,0.095,,11,American Double / Imperial Stout,16,Brewery Vivant,Grand Rapids, MI,BLANK,,,,,,,,,,
Escoffier Bretta Ale,909,0.092,,11,American Wild Ale,16,Brewery Vivant,Grand Rapids, MI,BLANK,,,,,,,,,,
Contemplation (2012),873,0.065,,11,Bière de Garde,16,Brewery Vivant,Grand Rapids, MI,BLANK,,,,,,,,,,
Vivant Belgian Style Imperial Stout (2012),860,0.099,,11,Russian Imperial Stout,16,Brewery Vivant,Grand Rapids, MI,BLANK,,,,,,,,,,
Big Red Coq (2012),677,0.062,,11,American Amber / Red Ale,16,Brewery Vivant,Grand Rapids, MI,BLANK,,,,,,,,,,
Zaison (2012),671,0.09,,11,Saison / Farmhouse Ale,16,Brewery Vivant,Grand Rapids, MI,BLANK,,,,,,,,,,
Vivant Tripel (2012),670,0.092,,11,Tripel,16,Brewery Vivant,Grand Rapids, MI,BLANK,,,,,,,,,,
Trebuchet Double IPA (2012),669,0.097,,11,Belgian IPA,16,Brewery Vivant,Grand Rapids, MI,BLANK,,,,,,,,,,
Kludde,627,0.085,,11,Belgian Strong Dark Ale,16,Brewery Vivant,Grand Rapids, MI,BLANK,,,,,,,,,,
Farm Hand,387,0.055,,11,Saison / Farmhouse Ale,16,Brewery Vivant,Grand Rapids, MI,BLANK,,,,,,,,,,
Solitude,385,0.06,,11,Belgian Pale Ale,16,Brewery Vivant,Grand Rapids, MI,BLANK,,,,,,,,,,
Triomphe,384,0.065,,11,Belgian IPA,16,Brewery Vivant,Grand Rapids, MI,BLANK,,,,,,,,,,
Tampa Pale Ale,1096,,,468,American Pale Ale (APA),12,Brindle Dog Brewing Company,Tampa Bay, FL,BLANK,,,,,,,,,,
Orange Grove Wheat Ale,1095,,,468,American Pale Wheat Ale,12,Brindle Dog Brewing Company,Tampa Bay, FL,BLANK,,,,,,,,,,
Broad Brook Ale,2456,0.061,,90,American Amber / Red Ale,16,Broad Brook Brewing LLC,East Windsor, CT,BLANK,,,,,,,,,,
Northern Lights Amber Ale,921,0.05,15,494,American Amber / Red Ale,12,Broken Tooth Brewing Company,Anchorage, AK,DATA,,,,,,,,,,
Polar Pale Ale,920,0.052,17,494,American Pale Ale (APA),12,Broken Tooth Brewing Company,Anchorage, AK,DATA,,,,,,,,,,
Fairweather IPA,648,0.061,64,494,American IPA,12,Broken Tooth Brewing Company,Anchorage, AK,DATA,,,,,,,,,,
Chugach Session Ale,919,0.048,,494,Cream Ale,12,Broken Tooth Brewing Company,Anchorage, AK,BLANK,,,,,,,,,,
East India Pale Ale,1279,0.068,47,438,English India Pale Ale (IPA),16,Brooklyn Brewery,Brooklyn, NY,DATA,,,,,,,,,,
East India Pale Ale,566,0.068,47,438,English India Pale Ale (IPA),12,Brooklyn Brewery,Brooklyn, NY,DATA,,,,,,,,,,
Brooklyn Summer Ale,756,0.045,,438,English Pale Mild Ale,12,Brooklyn Brewery,Brooklyn, NY,BLANK,,,,,,,,,,
Brooklyn Summer Ale (2011),328,0.045,,438,English Pale Mild Ale,12,Brooklyn Brewery,Brooklyn, NY,BLANK,,,,,,,,,,
Brooklyn Lager (16 oz.),66,0.052,,438,American Amber / Red Lager,16,Brooklyn Brewery,Brooklyn, NY,BLANK,,,,,,,,,,
Brooklyn Lager (12 oz.),65,0.052,,438,American Amber / Red Lager,12,Brooklyn Brewery,Brooklyn, NY,BLANK,,,,,,,,,,
Original Orange Blossom Ale (Current),27,0.058,35,531,Herbed / Spiced Beer,16,Buckbean Brewing Company,Reno, NV,DATA,,,,,,,,,,
Black Noddy Lager (Current),26,0.052,40,531,Schwarzbier,16,Buckbean Brewing Company,Reno, NV,DATA,,,,,,,,,,
Tule Duck Red Ale (Current),28,0.062,42,531,American Amber / Red Ale,16,Buckbean Brewing Company,Reno, NV,DATA,,,,,,,,,,
Black Adder IBA (Current),383,0.073,85,531,American Black Ale,16,Buckbean Brewing Company,Reno, NV,DATA,,,,,,,,,,
Tour de Nez Belgian IPA (Current),538,0.08,,531,Belgian IPA,16,Buckbean Brewing Company,Reno, NV,BLANK,,,,,,,,,,
Roler Bock (Current),504,,,531,Maibock / Helles Bock,16,Buckbean Brewing Company,Reno, NV,BLANK,,,,,,,,,,
Very Noddy Lager (Current),29,0.099,,531,Schwarzbier,16,Buckbean Brewing Company,Reno, NV,BLANK,,,,,,,,,,
Cleveland Beer Week 2013,1627,0.053,,358,Munich Helles Lager,16,Buckeye Brewing,Cleveland, OH,BLANK,,,,,,,,,,
Painted Turtle,2552,0.045,,57,American Pale Ale (APA),12,BuckleDown Brewing,Lyons, IL,BLANK,,,,,,,,,,
Summer's Wit,2124,0.06,20,215,Witbier,12,Buffalo Bayou Brewing Company,Houston, TX,DATA,,,,,,,,,,
1836,2125,0.06,40,215,American Blonde Ale,12,Buffalo Bayou Brewing Company,Houston, TX,DATA,,,,,,,,,,
More Cowbell,2123,0.09,118,215,American Double / Imperial IPA,16,Buffalo Bayou Brewing Company,Houston, TX,DATA,,,,,,,,,,
Joey Wheat,2160,0.068,16,25,American Pale Wheat Ale,16,Burn 'Em Brewing,Michigan City, IN,DATA,,,,,,,,,,
Pale Alement,2478,0.055,40,25,American Pale Ale (APA),12,Burn 'Em Brewing,Michigan City, IN,DATA,,,,,,,,,,
Pale Alement,2054,0.055,40,25,American Pale Ale (APA),16,Burn 'Em Brewing,Michigan City, IN,DATA,,,,,,,,,,
3:33 Black IPA,2158,0.072,86,25,American IPA,16,Burn 'Em Brewing,Michigan City, IN,DATA,,,,,,,,,,
Hopkick Dropkick,2471,0.099,115,25,American Double / Imperial IPA,12,Burn 'Em Brewing,Michigan City, IN,DATA,,,,,,,,,,
Wrath of Pele,2608,0.065,,25,American Brown Ale,16,Burn 'Em Brewing,Michigan City, IN,BLANK,,,,,,,,,,
Black Beer'd,2607,0.068,,25,American Black Ale,16,Burn 'Em Brewing,Michigan City, IN,BLANK,,,,,,,,,,
Mr. Tea,2606,0.078,,25,Fruit / Vegetable Beer,24,Burn 'Em Brewing,Michigan City, IN,BLANK,,,,,,,,,,
Kreamed Corn,2470,0.06,,25,Cream Ale,12,Burn 'Em Brewing,Michigan City, IN,BLANK,,,,,,,,,,
Coconoats,2464,0.065,,25,American Pale Wheat Ale,16,Burn 'Em Brewing,Michigan City, IN,BLANK,,,,,,,,,,
MCA,2072,0.068,,25,American IPA,16,Burn 'Em Brewing,Michigan City, IN,BLANK,,,,,,,,,,
Couch Select Lager,2196,0.05,14,198,American Pale Lager,12,Burnside Brewing Co.,Portland, OR,DATA,,,,,,,,,,
Mucho Aloha Hawaiian Pale Ale,668,0.056,36,518,American Pale Ale (APA),12,Butcher's Brewing,Carlsbad, CA,DATA,,,,,,,,,,
Heinnieweisse Weissebier,52,0.049,,557,Hefeweizen,12,Butternuts Beer and Ale,Garrattsville, NY,BLANK,,,,,,,,,,
Snapperhead IPA,51,0.068,,557,American IPA,12,Butternuts Beer and Ale,Garrattsville, NY,BLANK,,,,,,,,,,
Moo Thunder Stout,50,0.049,,557,Milk / Sweet Stout,12,Butternuts Beer and Ale,Garrattsville, NY,BLANK,,,,,,,,,,
Porkslap Pale Ale,49,0.043,,557,American Pale Ale (APA),12,Butternuts Beer and Ale,Garrattsville, NY,BLANK,,,,,,,,,,
Lawnmower Lager,878,0.039,16,156,American Adjunct Lager,12,Caldera Brewing Company,Ashland, OR,DATA,,,,,,,,,,
Ashland Amber Ale (2009),794,0.054,24,156,American Amber / Red Ale,12,Caldera Brewing Company,Ashland, OR,DATA,,,,,,,,,,
Ashland Amber Ale,37,0.054,24,156,American Amber / Red Ale,12,Caldera Brewing Company,Ashland, OR,DATA,,,,,,,,,,
Caldera Pale Ale,1419,0.056,55,156,American Pale Ale (APA),12,Caldera Brewing Company,Ashland, OR,DATA,,,,,,,,,,
Caldera Pale Ale (2010),791,0.056,55,156,American Pale Ale (APA),12,Caldera Brewing Company,Ashland, OR,DATA,,,,,,,,,,
Caldera Pale Ale (2009),790,0.056,55,156,American Pale Ale (APA),12,Caldera Brewing Company,Ashland, OR,DATA,,,,,,,,,,
Caldera Pale Ale (2005),789,0.056,55,156,American Pale Ale (APA),12,Caldera Brewing Company,Ashland, OR,DATA,,,,,,,,,,
Caldera Pale Ale (2007),788,0.056,55,156,American Pale Ale (APA),12,Caldera Brewing Company,Ashland, OR,DATA,,,,,,,,,,
Caldera Pale Ale (2011),38,0.056,55,156,American Pale Ale (APA),12,Caldera Brewing Company,Ashland, OR,DATA,,,,,,,,,,
Caldera IPA (2009),793,0.061,94,156,American IPA,12,Caldera Brewing Company,Ashland, OR,DATA,,,,,,,,,,
Caldera IPA (2007),792,0.061,94,156,American IPA,12,Caldera Brewing Company,Ashland, OR,DATA,,,,,,,,,,
Caldera IPA,36,0.061,94,156,American IPA,12,Caldera Brewing Company,Ashland, OR,DATA,,,,,,,,,,
Hopportunity Knocks IPA,2315,0.068,100,156,American IPA,12,Caldera Brewing Company,Ashland, OR,DATA,,,,,,,,,,
Pilot Rock Porter,1808,0.06,,156,American Porter,12,Caldera Brewing Company,Ashland, OR,BLANK,,,,,,,,,,
Remain in Light,2257,0.05,,179,American Pilsner,12,Cambridge Brewing Company,Cambridge, MA,BLANK,,,,,,,,,,
Flower Child (2014),2256,0.065,,179,American IPA,12,Cambridge Brewing Company,Cambridge, MA,BLANK,,,,,,,,,,
THP White (2006),870,,,498,Witbier,12,Cans Bar and Canteen,Charlotte, NC,BLANK,,,,,,,,,,
THP Amber (2006),869,,,498,American Amber / Red Ale,12,Cans Bar and Canteen,Charlotte, NC,BLANK,,,,,,,,,,
THP Light (2006),868,,,498,American Blonde Ale,12,Cans Bar and Canteen,Charlotte, NC,BLANK,,,,,,,,,,
THP Dark (2006),867,,,498,English Dark Mild Ale,12,Cans Bar and Canteen,Charlotte, NC,BLANK,,,,,,,,,,
Fisherman's Brew,2064,0.055,30,231,American Amber / Red Ale,12,Cape Ann Brewing Company,Gloucester, MA,DATA,,,,,,,,,,
Fisherman's Pils,2065,0.054,35,231,German Pilsener,12,Cape Ann Brewing Company,Gloucester, MA,DATA,,,,,,,,,,
Imperial Pumpkin Stout,2068,0.099,43,231,Pumpkin Ale,16,Cape Ann Brewing Company,Gloucester, MA,DATA,,,,,,,,,,
Fisherman's IPA,2066,0.055,64,231,American IPA,12,Cape Ann Brewing Company,Gloucester, MA,DATA,,,,,,,,,,
Dead-Eye DIPA,2067,0.09,130,231,American Double / Imperial IPA,16,Cape Ann Brewing Company,Gloucester, MA,DATA,,,,,,,,,,
Beach Blonde,1927,0.049,10,268,American Blonde Ale,16,Cape Cod Beer,Hyannis, MA,DATA,,,,,,,,,,
Cape Cod Red,1928,0.055,35,268,American Amber / Red Ale,16,Cape Cod Beer,Hyannis, MA,DATA,,,,,,,,,,
Lake House,2225,0.046,18,193,Munich Helles Lager,12,Capital Brewery,Middleton, WI,DATA,,,,,,,,,,
Lake House,1910,0.046,18,193,Munich Helles Lager,16,Capital Brewery,Middleton, WI,DATA,,,,,,,,,,
Wisconsin Amber,2226,0.052,28,193,Vienna Lager,12,Capital Brewery,Middleton, WI,DATA,,,,,,,,,,
Ghost Ship White IPA,1954,0.056,55,193,American IPA,12,Capital Brewery,Middleton, WI,DATA,,,,,,,,,,
Mutiny IPA,1177,0.062,70,193,American IPA,12,Capital Brewery,Middleton, WI,DATA,,,,,,,,,,
Dark Voyage Black IPA (2013),2227,0.065,80,193,American Black Ale,12,Capital Brewery,Middleton, WI,DATA,,,,,,,,,,
Wisconsin Amber (1998),840,0.052,,193,Vienna Lager,12,Capital Brewery,Middleton, WI,BLANK,,,,,,,,,,
Island Wheat,180,0.042,,193,American Pale Wheat Ale,12,Capital Brewery,Middleton, WI,BLANK,,,,,,,,,,
Wisconsin Amber (2013),63,0.052,,193,Vienna Lager,12,Capital Brewery,Middleton, WI,BLANK,,,,,,,,,,
U.S. Pale Ale,62,0.05,,193,American Pale Ale (APA),12,Capital Brewery,Middleton, WI,BLANK,,,,,,,,,,
Supper Club Lager,61,,,193,American Pale Lager,12,Capital Brewery,Middleton, WI,BLANK,,,,,,,,,,
Carolina Lighthouse (2007),784,0.04,,505,American Blonde Ale,12,Carolina Beer & Beverage,Mooresville, NC,BLANK,,,,,,,,,,
Carolina Blonde (2006),783,0.05,,505,American Blonde Ale,12,Carolina Beer & Beverage,Mooresville, NC,BLANK,,,,,,,,,,
Carolina Blonde Light (2005),782,0.035,,505,American Blonde Ale,12,Carolina Beer & Beverage,Mooresville, NC,BLANK,,,,,,,,,,
Santa's Secret,2255,0.059,22,180,Winter Warmer,16,Carolina Brewery,Pittsboro, NC,DATA,,,,,,,,,,
Flagship IPA,530,0.057,,180,English India Pale Ale (IPA),12,Carolina Brewery,Pittsboro, NC,BLANK,,,,,,,,,,
Sky Blue Golden Ale,427,0.051,,180,Kölsch,12,Carolina Brewery,Pittsboro, NC,BLANK,,,,,,,,,,
Monkey Chased the Weasel,1941,0.039,9,223,Berliner Weissbier,16,Carton Brewing Company,Atlantic Highlands, NJ,DATA,,,,,,,,,,
Boat Beer,1439,0.042,35,223,American IPA,12,Carton Brewing Company,Atlantic Highlands, NJ,DATA,,,,,,,,,,
077XX,1940,0.078,80,223,American Double / Imperial IPA,16,Carton Brewing Company,Atlantic Highlands, NJ,DATA,,,,,,,,,,
Epitome,2094,0.099,100,223,American Black Ale,16,Carton Brewing Company,Atlantic Highlands, NJ,DATA,,,,,,,,,,
Granny Smith Hard Apple Cider,1465,0.069,,405,Cider,16,Cascadia Ciderworks United,Portland, OR,BLANK,,,,,,,,,,
Dry Hard Apple Cider,1464,0.069,,405,Cider,16,Cascadia Ciderworks United,Portland, OR,BLANK,,,,,,,,,,
Farmer Ted's Cream Ale,1744,0.056,,332,Cream Ale,12,Catawba Brewing Company,Morganton, NC,BLANK,,,,,,,,,,
Firewater India Pale Ale,1743,0.052,,332,American IPA,12,Catawba Brewing Company,Morganton, NC,BLANK,,,,,,,,,,
White Zombie Ale,1742,0.047,,332,Witbier,12,Catawba Brewing Company,Morganton, NC,BLANK,,,,,,,,,,
King Winterbolt Winter Ale,1719,0.07,,332,Winter Warmer,12,Catawba Brewing Company,Morganton, NC,BLANK,,,,,,,,,,
White Zombie Ale,638,0.047,,332,Witbier,12,Catawba Brewing Company,Morganton, NC,BLANK,,,,,,,,,,
Firewater India Pale Ale,507,0.052,,332,American IPA,12,Catawba Brewing Company,Morganton, NC,BLANK,,,,,,,,,,
Farmer Ted's Farmhouse Cream Ale,480,0.056,,332,Cream Ale,12,Catawba Brewing Company,Morganton, NC,BLANK,,,,,,,,,,
Whitecap Wit,1882,0.048,16,286,Witbier,16,Catawba Island Brewing,Port Clinton, OH,DATA,,,,,,,,,,
Seiche Scottish Ale,1881,0.078,16,286,Scottish Ale,16,Catawba Island Brewing,Port Clinton, OH,DATA,,,,,,,,,,
Peanut Butter Jelly Time,2446,0.058,,97,American Brown Ale,12,Catawba Valley Brewing Company,Morganton, NC,BLANK,,,,,,,,,,
King Coconut,2106,0.054,,97,American Porter,12,Catawba Valley Brewing Company,Morganton, NC,BLANK,,,,,,,,,,
The Lawn Ranger,1050,0.05,18,30,Cream Ale,16,Cedar Creek Brewery,Seven Points, TX,DATA,,,,,,,,,,
Scruffy's Smoked Alt,1584,0.051,35,30,Smoked Beer,16,Cedar Creek Brewery,Seven Points, TX,DATA,,,,,,,,,,
Elliott's Phoned Home Pale Ale,1182,0.051,36,30,American Pale Ale (APA),16,Cedar Creek Brewery,Seven Points, TX,DATA,,,,,,,,,,
Dankosaurus,2052,0.068,70,30,American IPA,16,Cedar Creek Brewery,Seven Points, TX,DATA,,,,,,,,,,
Gone A-Rye,2600,0.085,90,30,American Double / Imperial IPA,16,Cedar Creek Brewery,Seven Points, TX,DATA,,,,,,,,,,
Special Release,2210,,,30,,16,Cedar Creek Brewery,Seven Points, TX,BLANK,,,,,,,,,,
All American Blonde Ale,1219,0.05,,453,American Blonde Ale,12,Centennial Beer Company,Edwards, CO,BLANK,,,,,,,,,,
All American Red Ale,1218,0.05,,453,American Amber / Red Ale,12,Centennial Beer Company,Edwards, CO,BLANK,,,,,,,,,,
Chin Music Amber Lager,1839,0.045,24,123,American Amber / Red Lager,12,Center of the Universe Brewing C...,Ashland, VA,DATA,,,,,,,,,,
Main St. Virginia Ale,2377,0.05,40,123,Altbier,12,Center of the Universe Brewing C...,Ashland, VA,DATA,,,,,,,,,,
Main St. Virginia Ale,1248,0.05,40,123,Altbier,12,Center of the Universe Brewing C...,Ashland, VA,DATA,,,,,,,,,,
Ray Ray’s Pale Ale,1247,0.052,42,123,American Pale Ale (APA),12,Center of the Universe Brewing C...,Ashland, VA,DATA,,,,,,,,,,
Chai Ale,1649,0.051,15,351,Herbed / Spiced Beer,16,Central Coast Brewing Company,San Luis Obispo, CA,DATA,,,,,,,,,,
Catch 23,1646,0.075,77,351,American Black Ale,16,Central Coast Brewing Company,San Luis Obispo, CA,DATA,,,,,,,,,,
Lucky Day IPA,1648,0.072,85,351,American IPA,16,Central Coast Brewing Company,San Luis Obispo, CA,DATA,,,,,,,,,,
Terrace Hill Double IPA,1647,0.095,99,351,American Double / Imperial IPA,16,Central Coast Brewing Company,San Luis Obispo, CA,DATA,,,,,,,,,,
Killer Kolsch,2055,0.05,22,237,Kölsch,12,Champion Brewing Company,Charlottesville, VA,DATA,,,,,,,,,,
Black Me Stout,2056,0.06,45,237,American Stout,12,Champion Brewing Company,Charlottesville, VA,DATA,,,,,,,,,,
Missile IPA,1933,0.07,65,237,American IPA,12,Champion Brewing Company,Charlottesville, VA,DATA,,,,,,,,,,
Stickin' In My Rye,2057,0.07,,237,Rye Beer,24,Champion Brewing Company,Charlottesville, VA,BLANK,,,,,,,,,,
Ale Cider,2018,0.065,8,251,Fruit / Vegetable Beer,16,Chapman's Brewing,Angola, IN,DATA,,,,,,,,,,
Pail Ale,2017,0.055,30,251,American Pale Ale (APA),16,Chapman's Brewing,Angola, IN,DATA,,,,,,,,,,
Enlighten,2019,0.045,,251,Kölsch,16,Chapman's Brewing,Angola, IN,BLANK,,,,,,,,,,
Englishman,2016,0.045,,251,English Brown Ale,16,Chapman's Brewing,Angola, IN,BLANK,,,,,,,,,,
Oktoberfest,2079,0.055,40,227,Märzen / Oktoberfest,16,Chatham Brewing,Chatham, NY,DATA,,,,,,,,,,
8 Barrel,2080,0.08,69,227,American Strong Ale,16,Chatham Brewing,Chatham, NY,DATA,,,,,,,,,,
Blood Orange Honey,2379,0.057,10,122,Fruit / Vegetable Beer,16,Cheboygan Brewing Company,Cheboygan, MI,DATA,,,,,,,,,,
IPA #11,2380,0.057,58,122,American IPA,16,Cheboygan Brewing Company,Cheboygan, MI,DATA,,,,,,,,,,
Lighthouse Amber,2354,0.052,,122,Altbier,16,Cheboygan Brewing Company,Cheboygan, MI,BLANK,,,,,,,,,,
Bay of Bengal Double IPA (2014),2440,0.089,126,100,American Double / Imperial IPA,12,Christian Moerlein Brewing Company,Cincinnati, OH,DATA,,,,,,,,,,
Churchkey Pilsner Style Beer,567,0.049,29,527,American Pilsner,12,Churchkey Can Company,Seattle, WA,DATA,,,,,,,,,,
First Press,1342,0.05,,426,Cider,12,Ciderboys,Stevens Point, WI,BLANK,,,,,,,,,,
Magic Apple,1341,0.05,,426,Cider,12,Ciderboys,Stevens Point, WI,BLANK,,,,,,,,,,
Florida Cracker Belgian Wit,545,0.05,18,142,Witbier,12,Cigar City Brewing Company,Tampa, FL,DATA,,,,,,,,,,
Cubano Espresso,2349,0.055,25,142,Bock,12,Cigar City Brewing Company,Tampa, FL,DATA,,,,,,,,,,
Maduro Brown Ale,1138,0.055,25,142,English Brown Ale,12,Cigar City Brewing Company,Tampa, FL,DATA,,,,,,,,,,
Maduro Brown Ale,571,0.055,25,142,American Brown Ale,12,Cigar City Brewing Company,Tampa, FL,DATA,,,,,,,,,,
Hopped on the High Seas (Hop #529),1726,0.07,60,142,American IPA,12,Cigar City Brewing Company,Tampa, FL,DATA,,,,,,,,,,
Hopped on the High Seas (Calypso),1725,0.07,60,142,American IPA,12,Cigar City Brewing Company,Tampa, FL,DATA,,,,,,,,,,
Dry-Hopped On The High Seas Caribbean-Style IPA,1694,0.07,60,142,American IPA,12,Cigar City Brewing Company,Tampa, FL,DATA,,,,,,,,,,
Hopped on the High Seas (Citra),1693,0.07,60,142,American IPA,12,Cigar City Brewing Company,Tampa, FL,DATA,,,,,,,,,,
Hopped on the High Seas (Ahtanum),1692,0.07,60,142,American IPA,12,Cigar City Brewing Company,Tampa, FL,DATA,,,,,,,,,,
Operation Homefront,2014,0.062,65,142,American IPA,12,Cigar City Brewing Company,Tampa, FL,DATA,,,,,,,,,,
Wandering Pelican,2013,0.082,65,142,American Black Ale,12,Cigar City Brewing Company,Tampa, FL,DATA,,,,,,,,,,
José Martí American Porter,1140,0.08,65,142,American Porter,12,Cigar City Brewing Company,Tampa, FL,DATA,,,,,,,,,,
Humidor Series India Pale Ale,1142,0.075,70,142,American IPA,12,Cigar City Brewing Company,Tampa, FL,DATA,,,,,,,,,,
Jai Alai IPA Aged on White Oak,1141,0.075,70,142,American IPA,12,Cigar City Brewing Company,Tampa, FL,DATA,,,,,,,,,,
Jai Alai IPA,546,0.075,70,142,American IPA,12,Cigar City Brewing Company,Tampa, FL,DATA,,,,,,,,,,
Tocobaga Red Ale,569,0.072,75,142,American Amber / Red Ale,12,Cigar City Brewing Company,Tampa, FL,DATA,,,,,,,,,,
Sugar Plum,2012,0.055,,142,American Brown Ale,12,Cigar City Brewing Company,Tampa, FL,BLANK,,,,,,,,,,
Oktoberfest,2011,0.055,,142,Märzen / Oktoberfest,12,Cigar City Brewing Company,Tampa, FL,BLANK,,,,,,,,,,
Puppy's Breath Porter,2010,0.06,,142,American Porter,12,Cigar City Brewing Company,Tampa, FL,BLANK,,,,,,,,,,
Happening Now,2009,0.045,,142,American IPA,12,Cigar City Brewing Company,Tampa, FL,BLANK,,,,,,,,,,
Wiregrass Post-Prohibition Ale,1695,0.063,,142,American Pale Ale (APA),12,Cigar City Brewing Company,Tampa, FL,BLANK,,,,,,,,,,
Gwar Beer,1369,0.055,,142,American Pale Ale (APA),12,Cigar City Brewing Company,Tampa, FL,BLANK,,,,,,,,,,
Tropical Heatwave,1243,0.052,,142,American Pale Wheat Ale,16,Cigar City Brewing Company,Tampa, FL,BLANK,,,,,,,,,,
Invasion Pale Ale,1139,0.05,,142,American Pale Ale (APA),12,Cigar City Brewing Company,Tampa, FL,BLANK,,,,,,,,,,
Hotter Than Helles Lager,570,0.05,,142,Munich Helles Lager,12,Cigar City Brewing Company,Tampa, FL,BLANK,,,,,,,,,,
Shark Tracker Light lager,2338,0.048,,146,Light Lager,12,Cisco Brewers,Nantucket, MA,BLANK,,,,,,,,,,
Pumple Drumkin,1365,0.06,,146,Pumpkin Ale,12,Cisco Brewers,Nantucket, MA,BLANK,,,,,,,,,,
Grey Lady,1094,0.045,,146,Witbier,12,Cisco Brewers,Nantucket, MA,BLANK,,,,,,,,,,
Summer of Lager,657,0.062,,146,Munich Helles Lager,12,Cisco Brewers,Nantucket, MA,BLANK,,,,,,,,,,
Indie Pale Ale,656,0.065,,146,American IPA,12,Cisco Brewers,Nantucket, MA,BLANK,,,,,,,,,,
Sankaty Light Lager,359,0.038,,146,Light Lager,12,Cisco Brewers,Nantucket, MA,BLANK,,,,,,,,,,
Whale's Tale Pale Ale,56,0.056,,146,English Pale Ale,12,Cisco Brewers,Nantucket, MA,BLANK,,,,,,,,,,
Jacaranada Rye IPA,1772,0.067,60,321,American IPA,16,Claremont Craft Ales,Claremont, CA,DATA,,,,,,,,,,
Wheat the People,893,0.044,13,419,American Pale Wheat Ale,16,Coalition Brewing Company,Portland, OR,DATA,,,,,,,,,,
Cascadian Dark Ale,1393,0.06,75,419,American Black Ale,12,Coalition Brewing Company,Portland, OR,DATA,,,,,,,,,,
Blackbeard,2657,0.093,,6,American Double / Imperial Stout,12,COAST Brewing Company,Charleston, SC,BLANK,,,,,,,,,,
Rye Knot,2656,0.062,,6,American Brown Ale,12,COAST Brewing Company,Charleston, SC,BLANK,,,,,,,,,,
Dead Arm,2655,0.06,,6,American Pale Ale (APA),12,COAST Brewing Company,Charleston, SC,BLANK,,,,,,,,,,
32°/50° Kölsch ,2654,0.048,,6,Kölsch,16,COAST Brewing Company,Charleston, SC,BLANK,,,,,,,,,,
HopArt,2653,0.077,,6,American IPA,16,COAST Brewing Company,Charleston, SC,BLANK,,,,,,,,,,
Boy King,2652,0.097,,6,American Double / Imperial IPA,16,COAST Brewing Company,Charleston, SC,BLANK,,,,,,,,,,
Tybee Island Blonde,1407,0.047,17,416,American Blonde Ale,12,Coastal Empire Beer Company,Savannah, GA,DATA,,,,,,,,,,
Savannah Brown Ale,1406,0.062,55,416,American Brown Ale,12,Coastal Empire Beer Company,Savannah, GA,DATA,,,,,,,,,,
Rhode Island Blueberry,2438,0.046,11,102,Kölsch,12,Coastal Extreme Brewing Company,Newport, RI,DATA,,,,,,,,,,
Hurricane Amber Ale (2004),751,0.052,24,102,American Amber / Red Ale,12,Coastal Extreme Brewing Company,Newport, RI,DATA,,,,,,,,,,
Hurricane Amber Ale,120,0.052,24,102,American Amber / Red Ale,12,Coastal Extreme Brewing Company,Newport, RI,DATA,,,,,,,,,,
Newport Storm IPA,2437,0.065,75,102,American IPA,12,Coastal Extreme Brewing Company,Newport, RI,DATA,,,,,,,,,,
Big Blue Van,2061,0.058,,233,Fruit / Vegetable Beer,16,College Street Brewhouse and Pub,Lake Havasu City, AZ,BLANK,,,,,,,,,,
Farmer John's Multi-Grain Ale,968,0.056,21,483,American Blonde Ale,16,Confluence Brewing Company,Des Moines, IA,DATA,,,,,,,,,,
Capital Gold Golden Lager,969,0.048,22,483,German Pilsener,16,Confluence Brewing Company,Des Moines, IA,DATA,,,,,,,,,,
Des Moines IPA,970,0.068,75,483,American IPA,16,Confluence Brewing Company,Des Moines, IA,DATA,,,,,,,,,,
Horny Toad Cerveza,2214,0.053,25,183,American Blonde Ale,16,COOP Ale Works,Oklahoma City, OK,DATA,,,,,,,,,,
Horny Toad Cerveza (2013),169,0.053,25,183,American Blonde Ale,16,COOP Ale Works,Oklahoma City, OK,DATA,,,,,,,,,,
Native Amber,2213,0.063,35,183,American Amber / Red Ale,16,COOP Ale Works,Oklahoma City, OK,DATA,,,,,,,,,,
